"{""specification_name"":""AI Controls Matrix"",""specification_version"":""1.0.3""}",AI CONTROLS MATRIX v1.0.3,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,Typical Control Applicability and Ownership,,,,Architectural Relevance - AI Stack Components,,,,,,Lifecycle Relevance,,,,,,Threat Category,,,,,,,,
Control Domain,Control Title,Control ID,Control Specification,Control Type,Gen AI OPS/Processing Infrastructure (PI),Model,Orchestrated Services,Application,Phys,Network,Compute,Storage,App,Data,Preparation,Development,Evaluation/ Validation,Deployment,Delivery,Service Retirement,Model manipulation,Data poisoning,Sensitive data disclosure,Model theft,Model/Service Failure/Malfunctioning,Insecure supply chain,Insecure apps/plugins,Denial of Service (DoS),Loss of governance/ compliance
Audit & Assurance - A&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually or upon significant changes.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Guardrails, Training","Evaluation, Validation/Red Teaming, Re-evaluation",AI Services supply chain,Continuous improvement,"Data deletion, Archiving, Model disposal",True,True,True,True,True,True,True,True,True
Audit & Assurance,Independent Assessments,A&A-02,Conduct independent audit and assurance assessments according to relevant standards at least annually.,Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Operations, Maintenance","Data deletion, Model disposal, Archiving",True,True,True,True,True,True,True,True,True
Audit & Assurance,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments in response to significant changes or emerging risks and according to risk-based plans and policies.,Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications",Continuous improvement,"Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,False,True
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,True,True
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process aligned with global auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,,Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Continuous improvement, Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",True,True,True,True,True,True,True,True,True
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, regularly review and report remediation status to relevant stakeholders.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),True,True,True,True,True,True,,"Design, Training, Guardrails","Re-evaluation, Validation/Red Teaming, Evaluation","AI applications, AI Services supply chain",Continuous improvement,"Model disposal, Data deletion, Archiving",True,True,True,True,True,True,True,True,True
Application & Interface Security - AIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually or after significant system changes.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data collection, Data curation, Data storage","Training, Design, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications, Orchestration","Continuous monitoring, Continuous improvement, Maintenance, Operations","Archiving, Model disposal, Data deletion",False,False,True,True,True,True,True,False,True
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing applications.""",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data storage, Data curation, Data collection","Design, Guardrails, Supply Chain, Training","Validation/Red Teaming, Evaluation, Re-evaluation","AI Services supply chain, AI applications","Continuous monitoring, Continuous improvement, Maintenance, Operations",Archiving,True,True,True,True,True,True,True,True,True
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,Resource provisioning,"Guardrails, Design","Validation/Red Teaming, Evaluation, Re-evaluation","AI applications, AI Services supply chain","Continuous monitoring, Continuous improvement, Operations",Archiving,False,False,True,False,True,False,True,True,True
Application & Interface Security,Secure Application Development Lifecycle,AIS-04,"Define and implement a secure software development lifecycle (SDLC) process for application requirements analysis, planning, design, development, testing, deployment, and operation in accordance with security requirements defined by the organization.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Supply Chain, Design","Validation/Red Teaming, Evaluation, Re-evaluation","AI applications, AI Services supply chain, Orchestration","Continuous monitoring, Continuous improvement, Operations, Maintenance",Archiving,True,True,True,True,True,True,True,True,True
Application & Interface Security,Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new  information systems, upgrades and new versions, which provides  application security assurance and maintains compliance while meeting  organizational delivery goals.  Automate when applicable and possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Training, Supply Chain","Validation/Red Teaming, Re-evaluation","AI applications, AI Services supply chain","Continuous improvement, Operations, Maintenance",,True,True,True,True,True,True,True,True,True
Application & Interface Security,Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Design",Validation/Red Teaming,"AI applications, Orchestration","Maintenance, Continuous improvement, Operations, Continuous monitoring",,True,True,True,True,True,True,True,True,True
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Resource provisioning, Team and expertise","Guardrails, Supply Chain, Design",Validation/Red Teaming,"AI applications, AI Services supply chain, Orchestration","Continuous improvement, Maintenance",,True,True,True,True,True,True,True,True,True
Application & Interface Security,Input Validation,AIS-08,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Data collection, Data curation","Guardrails, Training",Validation/Red Teaming,"Orchestration, AI applications","Continuous monitoring, Operations",,True,True,True,False,True,False,True,True,True
Application & Interface Security,Output Validation,AIS-09,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Guardrails, Design",Validation/Red Teaming,"Orchestration, AI applications","Operations, Continuous monitoring",,True,True,True,True,True,False,True,False,True
Application & Interface Security,API Security,AIS-10,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually  or after significant system changes.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,True,True,True,True,True,"Team and expertise, Resource provisioning","Guardrails, Design",Validation/Red Teaming,"AI applications, Orchestration","Continuous monitoring, Maintenance, Operations",Archiving,True,True,True,True,True,True,True,True,True
Application & Interface Security,Agents Security Boundaries,AIS-11,Establish security boundaries for agents.,AI-Specific,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),False,False,True,True,True,True,"Data collection, Data storage, Resource provisioning",Training,Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications",Continuous monitoring,Data deletion,True,True,True,True,False,False,True,False,True
Application & Interface Security,Source Code Managemement,AIS-12,"Implement source code management practices, such as version control, code review & static code analysis, aligning with the SDLC process.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),False,False,True,True,True,True,Team and expertise,"Design, Supply Chain, Guardrails","Validation/Red Teaming, Re-evaluation",,Maintenance,,True,True,True,True,True,True,True,True,True
Application & Interface Security,AI Sandboxing,AIS-13,Implement sandboxing techniques to execute AI tools and  plugins in isolated environments to prevent unintended  interactions with critical systems or data and limit the  possibility of lateral movement.,AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Shared Application Provider-AI Customer (Shared AP-AIC),True,True,True,True,True,True,"Resource provisioning, Team and expertise","Design, Guardrails, Training","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI applications","Operations, Continuous monitoring","Archiving, Data deletion, Model disposal",True,False,True,True,True,True,True,True,True
Application & Interface Security,AI Cache Protection,AIS-14,Implement security measures to protect caches in GenAI systems and  services.,AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Design, Guardrails",Validation/Red Teaming,"Orchestration, AI applications","Operations, Maintenance",Data deletion,False,True,True,True,True,True,True,True,True
Application & Interface Security,Prompt Differentation,AIS-15,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts).",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),False,True,True,True,True,True,,"Design, Guardrails",Validation/Red Teaming,"Orchestration, AI applications","Operations, Continuous monitoring",,True,True,True,False,True,True,True,True,True
Business Continuity Management and Operational Resilience - BCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
