"{""specification_name"":""AI Controls Matrix"",""specification_version"":""1.0.3""}",AI CONTROLS MATRIX v1.0.3,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,BSI AI C4,,,EU A1 Act,,,ISO/IEC 42001:2023,,,NIST AI 600-1 (2024),,
Control Domain,Control Title,Control ID,Control Specification,Control Mapping,Gap Level,Addendum,Control Mapping,Gap Level,Addendum,Control Mapping,Gap Level,Addendum,Control Mapping,Gap Level,Addendum
Audit & Assurance - A&A,,,,,,,,,,,,,,,
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually or upon significant changes.","COM-02
SP-01
SP-02",No Gap,,"Recital 81
Recital 123
Recital 125
Article 17 (1) (a)
Article 43 (1), (2 - 4)
Annex VI (1 - 4)
Annex VII (1 -5)",No Gap,,"42001: 9.2.1 General - Internal audit
42001: 9.2.2 Internal audit program
42001: 9.3 Management Review
42001: A.2.2 AI policy
42001: A.2.3 Alignment with other organizational policies
42001: A.2.4 Review of the AI policy
27001: 9.3 Management Review
27001: 9.2.1 General - Internal Audit
27001: 9.2.2 Internal audit programme
27001: A.5.1 Policies for information security
27002: 5.1 Policies for information security",No Gap,,"GV-1.1-001
GV-4.1-001
GV-4.2-001",Partial Gap,"Conducting an annual review should be incorporated into NIST AI 600-1.
The NIST controls are vague and need to specifically state, ""Policy needs to be created."" Instead, they allude to the need to create them in the context of regulatory or risk measurement."
Audit & Assurance,Independent Assessments,A&A-02,"Conduct independent audit and assurance assessments according to
relevant standards at least annually.","COM-03
OIS-01 Additional Criteria",No Gap,,"Article 21 (1)
Article 43 (2)
Article 43 (3)
Article 93 (1)",Partial Gap,"Require annual audits, independent post-market monitoring, reference to recognized audit or assurance standards.","42001: 9.2.1 General  -  Internal audit
42001: 9.2.2 Internal audit program
27001: A.5.35 Independent review of information security
27001: A.5.36 Compliance with policies
rules and standards for information security
27002: 5.35 Independent review of information security
27002: 5.36 Compliance with policies
rules and standards for information security",No Gap,,"MP-5.1-005
GV-3.2-001",No Gap,
Audit & Assurance,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments in response to significant changes or emerging risks and according to risk-based plans and policies.,"COM-02
COM-03",Partial Gap,Risk-based planning not covered in policy,"Article 9 (2)
Article 9 (6)
Article 43 (1)
Article 43 (4)
Article 93
Article 17",Partial Gap,"Include structured, procedural, or independent assurance mechanisms.","42001: 9.2.1 General - Internal audit
42001: 9.2.2 Internal audit program
42001: 10.2 Nonconformity
27001: 9.2.1 General - Internal audit
27001: 9.2.2 Internal audit programme
27001: A.5.35 Independent review of information security
27001: A.5.36 Compliance with policies
rules and standards for
information security
27002: 5.35 Independent review of information security
27002: 5.36 Compliance with policies
rules and standards for information
security",Partial Gap,"Add:
A dedicated control requiring independent review or assurance
A clause mandating risk-triggered audits (not just scheduled ones)
A direct link between the audit program and AI-specific risk assessments.

Until these enhancements are added, 42001 on its own presents a Partial Gap, which is closed when supplemented by ISO/IEC 27001 and 27002.","GV-2.2-004
GV-6.1-006
MGP-1.1-003
MGP-1.2-004",Partial Gap,"Needs to have a formal audit process,
require independent assurance, and
link controls to risk-based audit plans or policies."
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.",COM-01,No Gap,,"Article 8
Article 43
Article 53
Article 55",No Gap,,"42001: 8.2.1(a) Compliance with legal and regulatory requirements
42001: 9.2.1 General
27001: 9.2.1 General
27001: A 5.31 Legal
statutory
regulatory and contractual requirements
27002: 5.31 Legal
statutory
regulatory and contractual requirements",No Gap,,GV-1.1-001,No Gap,
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process aligned with global auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.","COM-02
COM-03",No Gap,,"Article 17 (1)
Annex VI",Partial Gap,"Mandate that providers and deployers of high-risk AI systems establish a documented audit management process aligned with recognized standards. Require organizations to develop an annual (or more frequent) audit plan, aligned to risk priorities and operational needs. Require that audits are planned based on risk analysis outcomes, ensuring higher scrutiny where risk exposure is greatest. Require that the audit process includes evaluation of both security controls and compliance measures, covering both operational and technical aspects. Mandate that findings are addressed with corrective actions and follow-up audits or checks are performed to ensure remediation is effective. Require formal, documented audit reports and management reviews of past reports and evidence to ensure continual improvement. Clarify that the audit management process is part of the Quality Management System (Article 17) and that evidence is recorded in the technical documentation.","42001: 9.2.1 General
42001: 9.2.2 Internal Audit Programme
42001: 10.1 Non-Conformity and Corrective Action
42001: 10.2 Continual Improvement
27001: 9.2.1 General
27001: 9.2.2 Internal audit programme",No Gap,,"GV-4.3-002
MP-1.1-003",Partial Gap,"The AICM requirement discusses an audit management process, while the two controls from NIST AI 600-1 focus specifically on incident reporting and risk measurement."
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, regularly review and
report remediation status to relevant stakeholders.","COM-03
COM-04",No Gap,,"Article 20 (1)
Article 20 (2)
Article 53
Article 55",No Gap,,"42001: 9.2.1 General
42001: 9.2.2 Internal audit programme
42001: 9.3.2 Management Review Inputs
42001: 9.3.3 Management Review Results
42001: 10.2: Non-conformity and Corrective action
27001: 9.2.2 Internal audit programme
27001: 10.2 Nonconformity and corrective action",No Gap,,"GV-1.3-007
MG-4.2-002
MG-1.3-001",Partial Gap,Extend the NIST AI 600-1 Governance function to include the requirements that corrective action plans be created based on audit findings and that stakeholders are notified of the status.
Application & Interface Security - AIS,,,,,,,,,,,,,,,
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security. Review and update the policies and procedures at least annually or after significant system changes.","DEV-01
DEV-03
OPS-04
OPS-06
OPS-10
OPS-11
OPS-18
PS-01",No Gap,,"Article 15 (1)
Article 15 (2)
Article 15 (3)
Article 15 (4)
Article 15 (5)
Article 17 (1)
Article 53 (1) (c)
Article 55 (1) (d)
Article 56",Partial Gap,At least annual review of policies and procedures by the organization.,"42001: B.6.1.3
42001: A.6.2.1
42001: Clause A.6
27001: A.5.1
27001: A.8.25",Partial Gap,"Clause mandating application & 
interface security policies & 
procedures.
Explicit periodic review of these 
policies.
Formal linkage to lifecycle and secure 
development practices.","GV-2.1-001
MP-4.1-003
GV-6.1-005",Partial Gap,"Implement a structured assessment framework, governance, risks, and procedures for application security controls, mirroring the review mechanisms used in risk management.
Incorporate explicit policy review frequency requirements.
Establish a policy change approval process to ensure continuous compliance with evolving applications security risks."
